  ID ,Full Name,Age ,GENDER,Heart Rate,Height,Address,Join Date,Notes,Constant Column,Irrelevant Column,Empty Column
1,Anu,22,Female,72 bpm,170 cm,"12 MG Road, Bengaluru, 560001",2024-01-05,good,SAME,x1,
2,Rahul,,MALE,85bpm,1.75 m,"45 Park St, Kolkata, 700016",05/02/2024,naïve café,SAME,x2,
3,Meera,29,female ,,175 cm,"77 Anna Salai, Chennai, 600002",2024/03/10,N/A,SAME,x3,
4,Sidd,-5,Male,90 bpm,180cm,"1 Marine Dr, Mumbai, 400001","March 15, 2024",?,SAME,x4,
5,Priya,31,FEMALE,100 BPM,1.60 m,"No. 9, Residency Rd, Bengaluru, 560025",2024-13-01,,SAME,x5,
6,Kiran,120,male,??,160 cm,"Somewhere, , 560002",2024-06-01,unknown,SAME,x6,
7,Anu,22,Female,72 bpm,170 cm,"12 MG Road, Bengaluru, 560001",2024-01-05,good,SAME,x1,
8,Zara,27,FeMale,65 bpm,,"8 Lake View, Hyderabad, 500001",2024-07-04,—,SAME,x7,
9,,24,male,75 bpm,175 cm,"15 Church St, Bengaluru, 560001",,ok,SAME,x8,
10,Vijay,28,Mle,80 bpm,170 cm,"18 North St, Delhi, 110001",2024-09-01,ok,SAME,x9,
,,,,,,,,,,,
